station_id,station_name,latitude,longitude,city_id,city_name
GHCND:USW00093727,"NEW RIVER MCAF, NC US",34.70842,-77.43966,CITY:US370015,"Jacksonville, NC US"
GHCND:USW00093719,"NEW BERN CRAVEN CO REGIONAL AIRPORT, NC US",35.0677,-77.048,CITY:US370016,"New Bern, NC US"
GHCND:USW00013722,"RALEIGH AIRPORT, NC US",35.8923,-78.7819,CITY:US370017,"Raleigh, NC US"
GHCND:USW00093781,"ROANOKE RAPIDS HALIFAX CO AIRPORT, NC US",36.43944,-77.70972,CITY:US370018,"Roanoke Rapids, NC US"
GHCND:USW00093759,"ROCKY MOUNT WILSON AIRPORT, NC US",35.855,-77.89306,CITY:US370019,"Rocky Mount, NC US"
GHCND:USR0000NLEX,"LEXINGTON NORTH CAROLINA, NC US",35.7922,-80.312,CITY:US370020,"Salisbury, NC US"
GHCND:USC00318778,"TURNERSBURG, NC US",35.9065,-80.8142,CITY:US370021,"Statesville, NC US"
GHCND:USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",34.2675,-77.8997,CITY:US370022,"Wilmington, NC US"
GHCND:USW00093807,"WINSTON SALEM REYNOLDS AIRPORT, NC US",36.13361,-80.22222,CITY:US370023,"Winston-Salem, NC US"
GHCND:USW00024011,"BISMARCK MUNICIPAL AIRPORT, ND US",46.7825,-100.7572,CITY:US380001,"Bismarck, ND US"
GHCND:USW00024012,"DICKINSON THEODORE ROOSEVELT REGIONAL AIRPORT, ND US",46.7994,-102.7972,CITY:US380002,"Dickinson, ND US"
GHCND:USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",46.9253,-96.8111,CITY:US380003,"Fargo, ND US"
GHCND:USW00094925,"GRAND FORKS AF, ND US",47.96667,-97.4,CITY:US380004,"Grand Forks, ND US"
GHCND:USW00014919,"JAMESTOWN MUNICIPAL AIRPORT, ND US",46.9258,-98.6691,CITY:US380005,"Jamestown, ND US"
GHCND:USW00094011,"MINOT AFB, ND US",48.41667,-101.35,CITY:US380006,"Minot, ND US"
GHCND:USW00094014,"WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT, ND US",48.1738,-103.6366,CITY:US380007,"Williston, ND US"
GHCND:USW00014896,"AKRON NAS, OH US",41.03333,-81.48333,CITY:US390001,"Akron, OH US"
GHCND:USW00014891,"MANSFIELD LAHM REGIONAL AIRPORT, OH US",40.8204,-82.5178,CITY:US390002,"Ashland, OH US"
GHCND:USW00004857,"ASHTABULA CO AIRPORT, OH US",41.77806,-80.69583,CITY:US390003,"Ashtabula, OH US"
